nickname,roi,mdd,sharpRatio,winRate
opdouglas,13104.578076,82.441565,6.76956865,75.9843
Justdoing,6915.71636022,66.39467,8.72408108,75.0
Steel_Monster,4209.674322,20.201418,,90.3226
琳琳的辞职日记,4036.899834,54.012743,,85.4167
RosenguyenAk123,3651.197448,20.299225,,89.4737
Tony梭哈小号,3271.708083,18.307474,,62.766
Thumien2008,2540.57446,23.699781,,88.5714
Nguyenkaty,2106.003488,60.183772,,91.6667
Tomahock,2056.424805,4.3667056,,80.0
杰拉德的笔记,1873.866981,41.817565,,86.1314
正大智能量化,1786.327446,13.044722,,44.6809
摩根先锋量化,1714.977187,55.435229,,85.2941
Tranduong763,1679.940424,6.1726807,,91.8919
卫国明世隐,1593.284489,11.477475,,88.0597
Bi_God,1526.678797,24.391172,2.91254552,73.3333
最亲爱的二大爷,1493.11859325,32.446796,8.39843387,72.093
猎,1404.803504,13.093208,,100.0
儒圣曹长卿,1388.714426,18.785991,,84.6154
Ho_Vi_Ho,1281.624343,6.1717852,,91.8919
猎狼,1274.298619,0.0,,100.0
Kenney_2612,1271.882713,4.0206321,,90.4762
Miller-Lee,1219.496028,8.0033842,,83.8095
老佛教徒,1203.997944,10.322729,,100.0
丹尼尔-彩,1172.187243,0.0,,68.4211
Herbert-Baron,1127.225507,11.23232,,80.6452
领航量化科技,1095.058099,17.59247,,80.7229
Baron-Vincent,1090.34967,12.448323,,87.395
printphantomstar,1026.144706,56.136986,,60.0
苏莱曼琳达,999.049098,9.0773819,,79.0698
交易员建红,994.485137,9.2311158,,80.1802
财神宝贝彰彰,937.194606,17.141529,,86.5546
binanc币安大成资本,885.091002,44.790353,,96.4602
Dr-Raed,784.309986,17.712324,,81.6667
back2thefuture,730.236348,20.336447,,80.0
Alluminatic,709.27255886,54.996851,,89.1304
区块_猎杀,671.599205,9.3265234,,90.9091
T_89,633.002884,33.090626,,61.6822
年年有渔,620.679553,0.0,,78.9474
挑战百倍收益,605.831337,19.165105,,90.1515
币王_狙击,567.847903,51.734867,,93.75
HK红庄,564.564432,43.871173,,86.9565
上天揽月下海捉鳖,558.286451,53.552464,,94.2857
Drwho67,527.306476,100.0,,68.7805
隐入尘埃,517.779723,0.0,,90.9091
MTF35,515.90232107,47.963024,2.73299867,87.0775
短线操盘高手-老白,511.583713,0.0,,100.0
麦田量化资本,510.666714,0.0,,77.7778
KylieMP3,505.992576,40.752712,,71.4286
法师tony88,502.510724,90.279224,,73.3333
开普敦的海风,501.613986,45.881687,,82.7068
ara_win,501.28272968,56.955236,5.24196371,82.6347
KABUVERDIANU-MIDAS,478.484658,58.958259,,84.2105
Lll起风了,470.808102,59.391535,,75.8621
BTC9319,467.626609,11.360228,,75.0
比特圣手,460.06101,0.0,,83.3333
币海捞金库,441.578419,23.869868,,76.4706
HoangthaiCrypto1994,437.356665,94.220999,,50.0
Choikuychol,436.122633,0.0,,98.9247
isareyou,434.217498,21.756636,,93.3333
灯湖西路边揸兜,430.614288,55.825844,,48.8889
4平9稳,413.765655,34.256449,,83.1933
龟兔赛跑985,411.527851,14.17267,,93.9394
2013老韭菜,409.664152,87.247367,3.61726809,65.0
小杨哥带你飞,403.501716,15.354724,,66.6667
望月亭,398.973174,0.0,,75.0
合约全能王,397.459422,28.820663,,100.0
三千梨花树,395.650585,19.214451,,58.0645
cc做时间的朋友,383.335226,55.850138,,63.1799
Lipstick_Chicken,373.276107,0.0,,100.0
X268dragon_power,373.275957,34.468043,,57.754
NguyenSky,368.217096,70.856949,,80.5556
琴动五音,367.003893,17.672247,,80.0
Wizz_Blitzkrieg,359.23310862,38.070354,9.34705818,98.9796
MM-11,354.55274584,53.731812,2.2568303,76.6667
Phorusrhacidae,341.46043208,5.8797912,7.83823937,96.3855
KANGA-鱼儿姐姐,339.26427651,19.501751,11.88228987,91.5493
赢到最后,338.94826,50.098834,,96.4286
op忝列,336.697441,0.0,,75.0
CesarCryptoSin,331.14114245,35.033767,-1.32829439,97.0149
Syscott,326.276301,23.724191,,93.3333
Aurumtv,323.34996541,26.968858,6.93559502,71.0938
中山桥币哥,318.436399,6.0122228,,84.6154
Gunner_chistmery,316.634589,56.623099,,62.5
KARAMANOGLU21,312.984074,18.319701,,87.8788
LOW-RISK,309.260849,11.254597,,59.328
DeOjada,307.5529118,5.6964455,,98.2079
618带你发,302.547996,5.0314772,,75.0
逆天改运,299.850199,0.0,,93.5484
盈利之前学会亏损,298.71413,22.618539,,75.0
kimyagerr,297.32671509,94.550754,,82.3529
随心O,296.50102845,22.446625,3.80377067,37.5
Mr-Ghith,295.834362,54.984322,,60.0
magic112,295.594658,24.358122,,52.439
TradeAcademy,286.775357,20.410764,,100.0
股汇币杀,284.048195,3.8569324,,84.0
Fib邪教徒,284.02133727,55.915419,4.3686227,53.3333
交易员Z,281.756029,10.58683,,80.0
Thisisnottuna,281.226497,32.508322,,90.7563
一年10-50倍,281.18266287,17.250558,3.59435668,0.0
Dr_Futures,280.734506,22.814905,,70.5094
_lastexit_,280.48786189,38.691624,4.75988259,82.9268
吴培好,279.992474,0.0,,66.6667
冰糖橙178,275.50547252,20.482437,9.78655229,70.3297
墙头草1,273.72954981,55.902641,1.22250743,72.3684
LoveCoin10000Years,271.550742,21.356439,,78.4091
2013年的韭菜,270.57904808,27.070365,7.38204775,96.817
King-of-Candles-MR,268.81954313,48.950333,7.64240999,95.1515
updown28,268.59615,12.491323,,76.0797
谱绘大师,262.52333,0.0,,93.2203
产U哥,262.087208,100.00013,3.57766085,60.8696
Relax6868,260.924664,17.431651,,78.9474
TradeLabs-2X-Monthly,254.135087,1.203271,,96.9388
代号索尼克,253.046831,38.559915,,55.2632
Slow_And_Steady_Wins,250.44863144,38.1274,2.88935423,73.6334
速歌百倍,250.225543,37.22852,,61.3208
TradeCircle,247.338404,3.4752146,,87.1795
彬雨星,247.17383297,14.924875,8.73692541,91.3753
重生归来,233.736436,3.8305698,,66.6667
TwitterUncleBFM,233.066608,8.3618977,,61.4679
