nickname,roi,mdd,sharpRatio,winRate
Justdoing,28525.78521,66.39467,8.95784612,75.8621
True-Miracle,21578.280153,48.514171,7.98925598,66.623
opdouglas,12027.09014,82.441565,6.80730135,72.7273
Phanthangsg,9847.338445,17.840342,7.31042609,94.5619
Phorusrhacidae,8932.658484,50.783378,7.95768148,95.7831
琳琳的辞职日记,3893.604649,54.012743,,85.9155
火洋洋,3791.61701392,72.478346,3.56741761,70.2703
RosenguyenAk123,3751.281252,20.299225,,90.9091
Steel_Monster,3722.800574,20.201418,,90.7407
最亲爱的二大爷,3317.979836,32.446796,8.74483124,75.0
_lastexit_,3287.16110934,46.709787,5.16046362,87.0968
Tony梭哈小号,2960.912083,18.307474,,62.4113
Thumien2008,2404.278095,23.699781,,88.2353
ara_win,2339.063021,56.955236,5.35657097,91.0224
Tomahock,2143.439156,2.0628276,,86.3636
Nguyenkaty,2116.584034,60.183772,,95.6522
杰拉德的笔记,1897.266434,41.817565,,86.7188
映月水,1891.44090206,52.19955,5.07067971,94.5055
Tranduong763,1715.429513,6.1726807,,88.5714
摩根先锋量化,1656.218516,55.435229,,84.2424
Bi_God,1534.183025,95.809915,2.89118028,67.2414
NguyenSky,1514.1504,34.497466,,86.6667
CurlyDog,1495.113422,14.998375,8.06304568,96.9266
彬雨星,1480.56436808,19.821066,8.65169893,94.7589
一年10-50倍,1473.70105081,88.264443,3.61362635,0.0
Luc_COIN_TR,1446.056681,71.437173,6.39631309,93.3333
光头用飘柔,1409.375376,20.463479,7.23103432,68.0147
儒圣曹长卿,1387.922169,18.785991,,86.8421
Ho_Vi_Ho,1373.251133,5.0294679,,91.8919
Kingtour,1345.924271,27.391781,8.20082668,61.4865
甲森,1335.326042,51.740048,4.79993321,86.413
True-Miracle-Lady,1288.82477,80.700304,6.78570226,66.5064
Kenney_2612,1286.737671,0.95394622,,88.8889
卫国明世隐,1273.044462,12.43705,,86.8217
子歌社,1268.57208124,31.4578,3.60845649,39.0411
1000U實盤挑戰,1211.109688,42.509682,5.33084175,87.7301
猎狼,1112.273271,0.0,,100.0
Herbert-Baron,1108.534342,11.23232,,81.1475
Miller-Lee,1104.178527,8.0033842,,81.5534
Tahiri,1079.822015,44.984716,7.01392725,0.0
KriptoKritik,1076.248749,49.616492,6.6122711,94.8529
Baron-Vincent,1065.079998,12.448323,,90.0
Alluminatic,1013.066906,54.996851,,88.7701
苏莱曼琳达,991.0093,9.0773819,,81.5789
交易员建红,985.398717,9.2311158,,81.9048
T_89,981.315555,29.819387,,60.5769
HK红庄,966.480034,10.317185,,86.9565
领航量化科技,951.440741,17.59247,,80.7692
Niel-A,951.247373,66.048106,5.61277781,66.6667
Nukro16,949.353212,49.86787,6.55897225,96.1905
丹尼尔-彩,945.211117,0.0,,65.7895
币王_狙击,943.216433,49.099639,,100.0
猎,941.670209,13.093208,,81.8182
长鹏,879.999528,39.228266,5.65775108,97.619
我带你回本,877.07680815,59.307919,4.06657209,0.0
44042,848.38788071,19.575546,4.42700658,31.0345
