Date: 2022-12-05 02:00:00+08:00, Position: 0, Balance: 5000, Price: 1279.37
Date: 2022-12-05 08:00:00+08:00, Position: 0, Balance: 5000, Price: 1297.44
Date: 2022-12-05 14:00:00+08:00, Position: 0, Balance: 5000, Price: 1295.57
Date: 2022-12-05 20:00:00+08:00, Position: 0, Balance: 5000, Price: 1264.69
Date: 2022-12-06 02:00:00+08:00, Position: 0, Balance: 5000, Price: 1259.51
Date: 2022-12-06 08:00:00+08:00, Position: 0, Balance: 5000, Price: 1257.0
Date: 2022-12-06 14:00:00+08:00, Position: 0, Balance: 5000, Price: 1256.3
Date: 2022-12-06 20:00:00+08:00, Position: 0, Balance: 5000, Price: 1251.95
Date: 2022-12-07 02:00:00+08:00, Position: 0, Balance: 5000, Price: 1271.42
Date: 2022-12-07 08:00:00+08:00, Position: 0, Balance: 5000, Price: 1260.43
Date: 2022-12-07 14:00:00+08:00, Position: 0, Balance: 5000, Price: 1224.81
Date: 2022-12-07 20:00:00+08:00, Position: 0, Balance: 5000, Price: 1231.19
Date: 2022-12-08 02:00:00+08:00, Position: 0, Balance: 5000, Price: 1231.3
Date: 2022-12-08 08:00:00+08:00, Position: 0, Balance: 5000, Price: 1228.76
Date: 2022-12-08 14:00:00+08:00, Position: 0, Balance: 5000, Price: 1240.37
Date: 2022-12-08 20:00:00+08:00, Position: 0, Balance: 5000, Price: 1254.54
Date: 2022-12-09 02:00:00+08:00, Position start : 1.9526368407898027, Balance: 5000, Price: 1280.32
Date: 2022-12-09 02:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1280.32
Date: 2022-12-09 08:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1280.75
Date: 2022-12-09 14:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1287.73
Date: 2022-12-09 20:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1274.24
Date: 2022-12-10 02:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1263.1
Date: 2022-12-10 08:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1263.07
Date: 2022-12-10 14:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1266.09
Date: 2022-12-10 20:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1267.39
Date: 2022-12-11 02:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1266.79
Date: 2022-12-11 08:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1275.74
Date: 2022-12-11 14:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1273.43
Date: 2022-12-11 20:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1274.32
Date: 2022-12-12 02:00:00+08:00, Position: 1.9526368407898027, Balance: 5000, Price: 1263.17
Date: 2022-12-12 08:00:00+08:00, Position Closed: 0, Balance: 3687.3544113971543, PnL: -1312.6455886028457, Price: 1247.22
Date: 2022-12-12 08:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1247.22
Date: 2022-12-12 14:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1254.23
Date: 2022-12-12 20:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1253.89
Date: 2022-12-13 02:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1275.32
Date: 2022-12-13 08:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1271.89
Date: 2022-12-13 14:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1286.79
Date: 2022-12-13 20:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1308.77
Date: 2022-12-14 02:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1321.54
Date: 2022-12-14 08:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1321.01
Date: 2022-12-14 14:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1326.95
Date: 2022-12-14 20:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1334.63
Date: 2022-12-15 02:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1308.52
Date: 2022-12-15 08:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1290.56
Date: 2022-12-15 14:00:00+08:00, Position: 0, Balance: 3687.3544113971543, Price: 1291.12
