nickname,roi,mdd,sharpRatio,winRate,tradingDays
opdouglas,13252.426649,82.441565,6.76956865,75.4864,41
Justdoing,5755.75386647,66.39467,8.72408108,74.5342,35
Steel_Monster,4125.231001,20.201418,,90.4762,24
琳琳的辞职日记,4027.217646,54.012743,,85.4167,22
RosenguyenAk123,3584.562147,20.299225,,89.4737,24
Tony梭哈小号,3280.78703,18.307474,,62.5442,27
Thumien2008,2591.722156,23.699781,,87.6712,27
Nguyenkaty,2143.841482,60.183772,,95.8333,11
Tomahock,2119.218508,4.3667056,,85.1852,20
杰拉德的笔记,1871.417146,41.817565,,85.5072,21
正大智能量化,1783.620126,13.044722,,42.0,8
摩根先锋量化,1744.201204,55.435229,,85.8824,21
Tranduong763,1713.488265,6.1726807,,91.8919,14
最亲爱的二大爷,1672.85197051,32.446796,8.39843387,74.4186,35
卫国明世隐,1582.654247,11.477475,,88.1481,15
Bi_God,1568.000602,24.391172,2.91254552,73.3333,78
猎,1404.803504,13.093208,,100.0,8
儒圣曹长卿,1376.522076,18.785991,,84.6154,13
Ho_Vi_Ho,1332.803647,5.0294679,,89.4737,16
Kenney_2612,1312.975156,1.1457313,,90.4762,11
猎狼,1274.298619,0.0,,100.0,10
Miller-Lee,1212.705667,8.0033842,,83.8095,16
老佛教徒,1203.997944,10.322729,,100.0,6
丹尼尔-彩,1181.366511,0.0,,68.4211,8
Herbert-Baron,1128.726821,11.23232,,80.6452,10
back2thefuture,1033.465831,20.336447,,80.0,6
苏莱曼琳达,995.201547,9.0773819,,79.0698,9
交易员建红,986.762241,9.2311158,,80.1802,15
Baron-Vincent,984.850027,15.658588,,86.6667,13
领航量化科技,983.797055,17.59247,,80.7229,14
财神宝贝彰彰,871.110436,17.141529,,86.5546,16
binanc币安大成资本,802.726651,44.790353,,96.4602,15
Alluminatic,785.56666647,54.996851,,90.2174,29
Dr-Raed,784.309986,17.712324,,81.6667,11
T_89,739.447366,29.819387,,61.1111,20
