nickname,roi,mdd,sharpRatio,winRate,tradingDays
opdouglas,13291.450259,82.441565,6.76956865,76.2646,41
Justdoing,5776.90789552,66.39467,8.72408108,74.5342,35
Steel_Monster,4188.105802,20.201418,,90.625,24
琳琳的辞职日记,4013.302382,54.012743,,85.4167,22
RosenguyenAk123,3514.028646,20.299225,,89.4737,24
Tony梭哈小号,3305.580312,18.307474,,62.5442,27
Thumien2008,2594.285009,23.699781,,89.0411,27
Nguyenkaty,2143.841482,60.183772,,95.8333,11
Tomahock,2069.652811,4.3667056,,86.2069,20
杰拉德的笔记,1878.633918,41.817565,,85.5072,21
正大智能量化,1787.605063,13.044722,,42.0,8
摩根先锋量化,1733.744803,55.435229,,85.8824,22
Tranduong763,1715.378822,6.1726807,,91.8919,14
最亲爱的二大爷,1675.3734311,32.446796,8.39843387,74.4186,35
卫国明世隐,1585.656974,11.477475,,88.1481,15
Bi_God,1564.891427,24.391172,2.91254552,73.3333,78
猎,1404.803504,13.093208,,100.0,8
儒圣曹长卿,1364.264753,18.785991,,84.6154,13
Ho_Vi_Ho,1347.007456,5.0294679,,89.4737,16
Kenney_2612,1306.720687,1.5833051,,90.4762,11
猎狼,1274.298619,0.0,,100.0,10
Miller-Lee,1211.31681,8.0033842,,83.8095,16
老佛教徒,1203.997944,10.322729,,100.0,6
丹尼尔-彩,1182.492439,0.0,,68.4211,8
Herbert-Baron,1129.598008,11.23232,,80.6452,10
back2thefuture,1059.005779,20.336447,,80.0,7
苏莱曼琳达,994.264677,9.0773819,,79.0698,9
领航量化科技,985.277837,17.59247,,81.9277,14
交易员建红,983.771864,9.2311158,,80.1802,15
Baron-Vincent,981.84384,15.892303,,86.6667,13
财神宝贝彰彰,810.687288,18.594936,,86.5546,16
Alluminatic,785.56666647,54.996851,,90.2174,29
T_89,785.208005,29.819387,,60.9091,20
Dr-Raed,784.309986,17.712324,,81.6667,11
binanc币安大成资本,743.652604,44.790353,,96.4602,15
年年有渔,738.923237,0.0,,68.1818,5
printphantomstar,724.333176,56.136986,,60.0,13
Drwho67,715.01596,100.0,,68.7805,27
HK红庄,697.926582,43.871173,,86.9565,7
半木夏短线小号,617.42190553,16.101049,,73.3333,30
挑战百倍收益,607.296268,19.165105,,89.0511,18
ara_win,602.57487467,56.955236,5.24196371,82.6347,83
法师tony88,594.134558,90.279224,,73.3333,22
isareyou,577.120241,21.756636,,93.3333,8
MTF35,539.92566917,47.963024,2.73299867,87.0775,57
上天揽月下海捉鳖,539.226402,53.552464,,94.4444,8
Syscott,532.075511,23.724191,,93.3333,7
Lll起风了,525.29455,58.804106,,75.8621,10
开普敦的海风,518.409569,45.881687,,83.4586,14
短线操盘高手-老白,511.583713,0.0,,100.0,6
BTC9319,501.720185,11.360228,,75.0,22
逆天改运,494.795927,0.0,,93.9394,2
比特圣手,487.598033,0.0,,75.0,3
隐入尘埃,482.528475,5.095982,,90.9091,4
cc做时间的朋友,482.522939,55.850138,,64.8536,25
灯湖西路边揸兜,481.883792,55.825844,,48.3516,21
币海捞金库,469.721911,23.869868,,76.4706,20
麦田量化资本,466.383999,6.9339576,,70.0,2
小目标一个亿亿,458.037055,15.372327,,100.0,3
龟兔赛跑985,446.398992,14.17267,,95.0,22
2013老韭菜,434.027656,87.247367,3.61726809,65.0,97
三千梨花树,417.706553,19.214451,,56.25,4
