nickname,roi,mdd,sharpRatio,winRate
Justdoing,12455.65858039,66.39467,8.95784612,75.3086
opdouglas,12015.74743,82.441565,6.80730135,74.8
琳琳的辞职日记,3880.137734,54.012743,,85.9155
RosenguyenAk123,3749.672225,20.299225,,90.9091
Steel_Monster,3706.243795,20.201418,,90.7407
Tony梭哈小号,2975.011562,18.307474,,62.4113
Thumien2008,2400.329724,23.699781,,88.2353
Tomahock,2142.812047,2.0628276,,86.3636
Nguyenkaty,2116.584034,60.183772,,95.6522
杰拉德的笔记,1896.124616,41.817565,,86.7188
Tranduong763,1714.625223,6.1726807,,88.5714
摩根先锋量化,1652.360964,55.435229,,84.2424
最亲爱的二大爷,1576.36225186,32.446796,8.74483124,73.3333
Bi_God,1539.162217,24.391172,2.89118028,72.973
NguyenSky,1515.010257,34.497466,,86.6667
儒圣曹长卿,1386.782822,18.785991,,86.8421
Ho_Vi_Ho,1381.107686,5.0294679,,91.8919
Kenney_2612,1290.405037,0.69200906,,88.8889
卫国明世隐,1266.770912,12.837132,,86.8217
猎狼,1112.273271,0.0,,100.0
Herbert-Baron,1106.733311,11.23232,,81.1475
Miller-Lee,1100.593675,8.0033842,,81.5534
Phorusrhacidae,1090.92147742,5.8797912,7.95768148,95.7055
Baron-Vincent,1063.156078,12.448323,,90.0
HK红庄,1016.112415,10.317185,,86.9565
T_89,999.374822,29.819387,,60.5769
苏莱曼琳达,988.655545,9.0773819,,81.5789
交易员建红,983.244135,9.2311158,,81.9048
领航量化科技,946.777843,17.59247,,80.7692
丹尼尔-彩,945.211117,0.0,,65.7895
币王_狙击,943.216433,49.099639,,100.0
猎,922.621758,13.093208,,81.8182
Alluminatic,920.66777046,54.996851,,88.7701
财神宝贝彰彰,821.88273,17.594191,,86.4407
Dr-Raed,784.309986,17.712324,,81.6667
正大智能量化,751.34104,13.044722,,40.5405
Drwho67,682.28459,100.0,,67.8392
binanc币安大成资本,655.675341,44.790353,,94.2308
printphantomstar,555.614924,61.329994,,60.0
区块_猎杀,555.276206,9.0296294,,87.5
CesarCryptoSin,554.62288503,35.033767,-1.360314,97.4138
isareyou,551.088358,0.0,,100.0
月球交易MoonTrading,549.29121,20.344892,,48.3871
_lastexit_,545.44707992,38.691624,5.16046362,86.1111
MTF35,535.90421014,47.963024,2.73368004,86.3158
cc做时间的朋友,526.171069,40.541025,,64.2857
开普敦的海风,523.55985,45.881687,,83.3333
Lll起风了,513.460599,58.804106,,75.0
短线操盘高手-老白,511.583713,0.0,,100.0
KylieMP3,511.307617,40.752712,,76.9231
挑战百倍收益,509.952318,19.165105,,88.7931
BTC9319,492.758196,11.360228,,76.5957
年年有渔,492.439182,0.0,,73.6842
Aurumtv,486.89857485,26.968858,,77.7778
法师tony88,480.993844,90.279224,,76.9231
三千梨花树,479.958466,5.3362512,,60.0
GPSv6-OrderTrade789,455.945263,18.92333,,78.3784
隐入尘埃,449.116637,0.81632304,,85.7143
magic112,448.370336,24.358122,,51.3514
DeOjada,445.87507863,5.6964455,,98.917
back2thefuture,443.429737,20.336447,,81.25
老佛教徒,436.972632,10.322729,,80.0
Wizz_Blitzkrieg,431.99055937,38.070354,9.35058397,98.2343
X268dragon_power,424.490676,34.468043,,57.8652
ara_win,415.30960942,56.955236,5.35657097,85.3933
前进的路啊,412.029545,2.3900955,,94.7368
2013老韭菜,408.738613,87.247367,3.64513786,68.4211
一年10-50倍,408.35686289,17.250558,3.61362635,0.0
币海捞金库,402.739735,23.869868,,75.0
MM-11,398.3866358,53.731812,2.38519746,77.7778
Trader_Rony,386.939679,31.602808,,83.8983
灯湖西路边揸兜,372.584581,55.825844,,49.4382
KANGA-鱼儿姐姐,370.73899384,19.501751,,90.0662
墙头草1,368.82746119,55.902641,1.05208629,72.973
King-of-Candles-MR,367.02644219,48.950333,7.72954485,95.4442
琴动五音,367.003893,17.672247,,80.0
Choikuychol,361.065053,8.9713794,,97.7528
区块狂人,358.037714,0.0,,100.0
HoangthaiCrypto1994,354.432631,94.220999,,50.0
LoveCoin10000Years,353.840448,21.356439,,78.0769
Syscott,353.378226,23.724191,,92.3077
产U哥,346.850311,100.00013,3.72106804,56.1644
Kingtour,337.11524146,15.836576,8.20082668,61.1111
Colonel_Alexandro,336.621266,13.918417,,75.0
人为机器人,335.457611,11.875453,,60.9756
Jasmine_Gemhunter88,333.26568407,40.819556,5.0665001,81.1765
龟兔赛跑985,330.299727,14.17267,,94.5652
B天天向上,328.26316307,64.510545,1.42136821,46.087
Gotomoom,326.99213108,50.406716,3.56557455,37.5
速歌百倍,320.16359,37.22852,,66.3043
冰糖橙178,318.87987816,20.482437,10.8284626,70.4626
盈利之前学会亏损,315.698206,22.618539,,75.0
Slow_And_Steady_Wins,308.25895022,38.1274,2.98381016,73.7003
半木夏短线小号,307.328379,16.101049,,75.0
叶凡--,305.209785,7.921508,,76.7677
2013年的韭菜,303.83719236,27.070365,7.34264828,97.1204
CryptoClub557,303.788576,100.0,,49.7872
618带你发,302.547996,5.0314772,,75.0
主力顺风车,300.16371826,27.438332,5.89910369,98.0263
zycparis,299.08654628,44.712031,2.7563462,95.5257
LOW-RISK,295.522692,11.254597,,58.3706
President_LD,292.016494,10.93213,,75.0
随心O,291.53843175,22.446625,3.86374286,37.5
比特圣手,289.809608,1.2120223,,60.0
ImperialTrading,287.17332,58.494293,,73.0088
Dr_Futures,284.333238,22.814905,,86.3481
交易员Z,281.756029,10.58683,,80.0
KARAMANOGLU21,279.439591,18.319701,,88.7755
newNormal,277.31982111,7.2725436,9.61668751,60.7917
九爷说币,277.024528,14.938004,,43.5897
彬雨星,272.7091174,14.924875,8.65169893,92.6773
我带你回本,272.41724662,21.171714,4.06657209,0.0
Relax6868,270.017783,17.431651,,88.2353
Parasitic2Trade,267.22984548,32.319255,2.23219205,80.5195
El-Guss,262.86722387,54.745105,6.43159294,75.9494
记录自己丶,260.380036,25.987469,,86.8996
TradeLabs-2X-Monthly,260.039323,0.0,,96.6292
我不是卡卡ovo,258.290563,36.620167,,55.5556
TradeAcademy,257.439378,20.410764,,100.0
CurlyDog,256.13821311,14.998375,8.06304568,96.9248
kimyagerr,254.92641833,94.550754,,81.5534
一三一九,252.53724767,28.087453,6.04023611,100.0
Jasmine_99,250.63491023,44.509793,4.93270988,19.6721
Faker丿,248.07677919,71.029738,4.24482433,47.3684
Mr-Ghith,244.5211,54.984322,,60.0
上天揽月下海捉鳖,242.536738,57.995228,,92.8571
TradeCircle,241.544248,4.8282476,,85.034
中山桥币哥,239.041538,8.7382203,,84.6154
房子徐,239.005532,37.189494,,45.8333
King-of-Candles-VHR,238.034583,44.231538,,95.6815
updown28,237.361959,12.491323,,77.0035
PeanutPark,235.43246248,48.535288,5.0521013,57.8947
穩定暴擊,234.385345,0.0,,0.0
op忝列,233.252993,0.0,,50.0
NICE-INFI,229.43448353,35.347975,4.79483689,82.8358
KABUVERDIANU-MIDAS,226.926721,60.946768,,86.4865
CHULTOOx5,223.83834328,2.1845354,6.58742994,78.8679
wait_for_opportunity,223.57028259,28.037143,2.65348473,66.6667
KriptoKritik,222.84357865,48.466618,6.6122711,91.358
XMultichain_Pro,221.34004051,40.872927,4.39540773,79.5181
Soulastz,220.940508,76.149354,,94.6237
平平淡淡的过,219.491051,63.150606,,98.3333
子歌社,217.58851642,21.708861,3.60845649,40.625
Salahuddin2004,211.48921986,14.697489,7.49131627,100.0
_VD_3520,211.23404858,40.100315,3.32075602,45.8333
做空才是信仰-牛人榜,209.681788,21.637594,,44.4444
ryseuwu,209.2161459,65.057029,0.03897657,83.3333
I_am_Messi,208.47152,43.003622,,33.3333
OneMillionUSDnsqcotr,207.53985238,11.129632,5.82315731,99.2857
Chipi_real,204.29677273,36.613308,2.51413021,70.5882
谱绘大师,203.924331,0.0,,93.1034
6lowpan,203.510168,18.086729,,90.9091
多空双吃梭哈怪,203.202051,41.01104,,56.25
A3sMoet,202.662631,21.848178,,75.0
公主请跟单,201.988619,12.57492,,56.1702
drakkar67,200.86146003,29.445573,1.11054146,8.3333
长鹏,200.55577082,10.1438,5.65775108,100.0
Jackthepirate,199.946399,9.6310883,,95.8333
Thisisnottuna,199.219089,32.508322,,90.5983
BitStar_TradeStudio,199.139544,7.661327,,55.8824
Copy1Coin,198.82893,22.320238,,40.0
TradeHard_or_GoHome,195.644592,6.246249,,76.5
44042,194.1067518,11.861022,4.42700658,23.8095
TwitterUncleBFM,193.745639,8.3618977,,58.7629
CryptoChacha,193.461683,18.443299,,79.3651
卡西法,192.826444,12.918292,,98.9967
代号索尼克,192.393234,38.559915,,55.2632
Wch999,190.849797,71.984,,66.6667
股汇币杀,190.373764,4.7256014,,84.0
Jamesbon,189.89204003,62.110153,3.60926649,78.9474
3倍杠杆保平安,189.288951,3.0324992,,84.2105
wulijj,188.971601,3.8150011,,100.0
unclelulu,188.87115977,77.49038,4.31452155,86.3636
ToRiches,187.59223512,23.703492,8.96686564,76.5432
CryptoPick24,186.983101,16.954382,5.02596577,87.5
知足常乐666,186.89114856,38.590317,2.3125811,88.8889
Hodler1004,186.28468358,18.440267,3.08551638,66.118
Procapls,185.87613201,77.740901,3.63630885,75.0
MMTradingDesk,185.574362,15.729857,,53.8462
cryptohabercom,183.99948847,26.9036,4.10563261,61.1111
Lipstick_Chicken,182.872493,0.0,,100.0
巨覌,182.25346709,37.224357,3.01801445,50.0
AnalyticExcellence,181.684097,26.678883,6.05172663,83.3333
羽狗狗,180.0423718,26.248499,5.07563285,65.0273
CryptoHayro,179.06750445,53.107397,4.97099414,93.617
华尔街强哥,178.97490954,37.72886,2.08751976,69.5652
合约全能王,178.486385,28.820663,,66.6667
AlphaBull,177.484225,32.356447,,96.0
CryptoTradingBro,176.726866,27.056036,,30.0
康博,173.996461,10.846977,,99.5665
Hip-hop,172.68326497,25.569083,4.12059455,72.7273
Poti-3,171.33717994,0.0,5.59719634,84.349
UnityTrade,170.80208656,18.020672,8.01743199,90.9836
B07I1T,167.9547095,52.198116,2.51283028,50.0
Btc_Ha,166.36558309,37.865757,0.89849825,36.6534
尤里克克克克,166.05793494,22.336263,8.50633884,85.4015
赢到最后,165.894774,50.098834,,96.2406
Aksay_alix,165.148259,32.306822,,83.0097
Khanasfand99,163.67644,21.929951,,50.0
BAY_NEXUS_TR,163.65753205,34.050398,2.01931706,0.0
VTT,163.508246,36.602361,,77.5
Luckytaotao,162.18474804,53.642541,2.60326907,68.3333
HiCrypto,161.61503978,22.793761,5.21737111,84.5937
T-Cosmos,161.37320986,16.773649,3.23002119,77.5862
FairTradeW,160.731251,12.314847,,89.1626
王土豆-911,160.411961,24.005557,,28.5714
量化博士,158.20580292,49.529156,4.3442239,55.5556
特奥乌昂,157.64259091,41.630388,3.91419061,80.7692
Focusprofit焦點利潤策略交易,157.32387513,8.8747632,6.12811858,58.9474
4平9稳,156.168569,34.256449,,83.7838
光头用飘柔,155.85115201,15.797524,7.23103432,75.0
Crypto-Falcon,154.63252575,25.384939,2.39618618,64.2105
SuperLuckyMoney,154.48867873,36.046062,2.91254411,31.3869
挣钱,154.13689215,35.370368,5.28757027,96.7949
MattySol,153.99728,45.237165,,45.4545
DZ-赵短鹏,153.91952296,65.822366,4.28840799,98.4848
望月亭,153.416413,18.60736,,57.1429
koreaKCY,153.33752955,31.3954,,95.6044
P4PTI,152.58665158,51.083071,4.57398196,78.6667
Schponkk,152.000977,25.925685,,60.0
万三哥,151.88295,0.0,,0.0
Cryptoxn,151.2121872,4.6521042,6.9702569,72.1805
PersistentSun,150.436595,0.0,,50.0
fomobot,149.67335624,24.237222,3.33926004,81.25
Nemo量化,147.93043536,25.726768,2.8112054,87.8505
Meta_wu,147.85240625,22.24466,7.25602511,74.6032
SHTRADERDR,147.760274,1.1129124,,100.0
61888,146.78317408,68.20034,4.06139101,25.0
深圳啊宝,146.77300708,32.950461,5.79208587,41.6667
skysailor,146.77210263,30.005699,2.66902371,63.2353
多豆豆,146.134406,6.8018925,,50.0
财气通门户,145.99173249,45.168896,3.26408116,14.2857
Kilimanjaru,145.589982,53.572464,,100.0
Fomo2024,145.45592354,24.122765,5.30824517,76.2295
collectcoin,145.37758498,37.201933,6.63781998,43.75
MaestroAI,144.93054027,41.076065,3.69866495,90.4762
mj2thoo,144.89862437,69.692,3.50770979,0.0
juliancatano,144.67260376,45.184624,0.6775025,53.6
WannaCrazyZz,144.32579676,46.565214,3.88179431,70.6897
Huynhlongbai,144.291707,0.0,,57.1429
fat_bear,144.26710534,19.291481,,82.3529
冰冷热带鱼1000u挑战,144.20786412,62.764302,2.23173413,36.9231
韭菜根57,144.071281,0.0,,8.3333
生活不易多点照顾好吗,143.107478,0.0,,20.0
Gunner_chistmery,142.925693,61.818968,,57.1429
TraderCES,142.46912825,38.495031,3.75855726,58.5366
X268Scalp,142.21922,29.645228,,73.5751
DavidS777,140.701024,27.250665,,73.3333
LanayaFrv,140.59069574,18.845082,4.85368968,76.7857
浙大七哥-只赚有把握的钱,138.71789017,19.763158,1.79209908,92.3077
西红柿的生活,138.498681,71.256858,,77.7778
重生归来,137.981402,0.0,,80.0
Fib邪教徒,137.64676833,60.119002,4.35741684,45.0
Scalping_machine,137.56805377,56.483842,3.81514306,96.0
NhuquynhCsK,137.514286,69.774958,,72.2222
吴培好,137.086966,7.0012117,,50.0
RoverJr,136.21557053,36.749878,,47.3684
Phuongichi,135.95610101,36.40347,2.95551552,35.9551
Mr_Fantastic_,135.486198,35.143091,,64.1791
干就完事,135.336539,35.434809,,95.0
1000U實盤挑戰,134.98295459,15.355585,5.33084175,93.6709
环悦兴茂资本,134.74778431,66.730183,0.79583534,66.6667
肥樹懶,134.61953396,47.933891,1.86095847,100.0
Nolekusm,134.044147,0.0,,100.0
Jayzilla,133.33564,90.774834,,52.6316
LucidHoang,132.72955137,79.831895,,24.0
AKA所往,132.427884,100.0,-2.99573134,77.7429
短线趋势,132.254566,40.261015,,74.0
Hasan3547,131.849433,61.7927,2.15235478,76.4706
麦田量化资本,129.396079,0.0,,75.0
朱菲特,129.183164,1.9999122,,46.4286
荒-独断万古,128.376528,23.920364,,70.5882
Pepekamikaze,128.213498,35.313203,,41.791
赞美技术,128.154927,8.3637733,,66.6667
Kenzy2024,127.90306949,60.67368,3.6374841,67.0732
ARIARDA,127.056366,36.734701,,65.0
UpUpUpUpUpUp,126.95099224,48.92583,2.17433825,53.3333
Awmmm,126.26211521,29.102496,4.45410073,47.9167
sov_td,126.083041,9.7980056,,79.3103
Hekaro88,125.858376,68.556049,,99.6377
0xToTheMoon,125.45804969,2.8011492,6.50890587,91.4209
Noname1985,125.035968,11.30049,,100.0
Heripotur,124.956225,19.656006,,96.9697
风控官VS交易员,124.734491,62.345014,,60.0
BLUE_TR,124.70374989,13.85651,12.93663683,95.6989
Wolf-AI,124.66257598,9.1774041,6.21582011,75.4032
Anonymous-User-af658,124.55251,13.454156,,50.0
CrystalTABS,123.78311729,40.365917,3.14532979,84.6154
失情,123.7568435,74.703875,,72.0
禿頭老爹,123.69931243,43.060114,2.08732452,93.6937
dream95,123.67819843,59.349574,3.89688301,90.7895
The_Coin_Stalker,123.11812017,5.3864932,3.80892558,96.4286
Prosecutor,123.048113,24.965744,,78.4483
PermiumX_Quant,122.558803,23.89437,,58.8235
Nupita,121.40560873,4.2263908,5.91435103,98.5075
送你一朵小发发,120.86433363,80.878167,4.03807682,53.5714
B必赢,120.63943315,43.049285,4.7023627,91.6667
幣圈老黃,120.461798,43.92284,,63.3333
情况不对立马撤退,120.344999,0.0,,93.75
Magic_Algo2,120.09040462,7.0781375,7.82535307,99.2679
十年币圈俩茫茫,119.554845,49.653735,,75.885
松栏,119.29759313,2.0701584,7.3521936,62.5
